id,age,tenure_months,monthly_charges,contract_type,payment_method,support_calls,churn
1,46,15,74.59,Month-to-month,Bank transfer,2,0
2,27,22,104.62,Month-to-month,Credit card,1,0
3,52,10,109.99,Two year,Credit card,1,0
4,55,37,88.16,Month-to-month,Electronic check,1,0
5,18,2,123.83,Month-to-month,Credit card,1,0
6,23,28,65.29,One year,Bank transfer,1,0
7,43,4,29.79,Month-to-month,Mailed check,0,0
8,37,6,97.23,Month-to-month,Credit card,1,0
9,41,51,31.69,Month-to-month,Electronic check,0,0
10,30,12,52.92,Month-to-month,Credit card,0,0
11,54,13,84.95,Month-to-month,Bank transfer,3,1
12,52,24,71.04,Two year,Credit card,1,0
13,42,27,69.28,One year,Credit card,1,0
14,57,23,43.93,Month-to-month,Bank transfer,0,0
15,48,19,72.58,One year,Electronic check,1,0
16,29,0,95.09,One year,Electronic check,3,0
17,47,3,70.95,One year,Credit card,2,1
18,28,7,50.29,Two year,Bank transfer,0,0
19,54,43,45.26,Two year,Credit card,1,0
20,41,60,58.76,Month-to-month,Mailed check,0,0
21,39,15,82.06,Month-to-month,Mailed check,2,1
22,32,11,80.24,Month-to-month,Credit card,2,0
23,59,72,60.79,Month-to-month,Bank transfer,1,0
24,39,16,18.0,Two year,Mailed check,1,1
25,36,29,84.85,One year,Electronic check,0,0
26,37,19,50.41,Month-to-month,Credit card,2,0
27,49,10,88.73,Two year,Credit card,3,0
28,47,13,53.05,One year,Mailed check,0,0
29,47,24,48.9,Month-to-month,Mailed check,1,0
30,48,56,82.23,Two year,Electronic check,1,0
31,71,13,130.89,Month-to-month,Mailed check,0,0
32,36,12,90.53,Month-to-month,Electronic check,1,1
33,34,1,73.56,Month-to-month,Electronic check,0,1
34,30,3,79.42,Two year,Credit card,0,0
35,50,0,26.22,Month-to-month,Mailed check,0,1
36,57,3,42.39,Month-to-month,Credit card,0,0
37,40,35,18.0,One year,Mailed check,0,0
38,30,31,117.9,Two year,Electronic check,1,0
39,30,35,113.43,Month-to-month,Mailed check,1,1
40,51,0,79.82,Month-to-month,Electronic check,4,1
41,52,26,77.28,Two year,Bank transfer,0,0
42,49,7,32.26,One year,Credit card,0,0
43,32,15,66.77,Month-to-month,Bank transfer,5,0
44,45,51,122.46,Month-to-month,Credit card,2,0
45,43,19,76.14,Month-to-month,Credit card,3,0
46,45,2,56.18,One year,Credit card,3,0
47,54,11,27.7,One year,Bank transfer,0,0
48,45,72,115.31,One year,Bank transfer,1,0
49,51,54,76.35,Month-to-month,Mailed check,1,0
50,42,37,31.63,Two year,Electronic check,0,0
51,46,3,47.34,Month-to-month,Bank transfer,0,0
52,50,3,38.51,Two year,Bank transfer,3,0
53,21,2,67.01,Month-to-month,Electronic check,0,1
54,37,3,75.63,Month-to-month,Credit card,2,1
55,35,0,57.42,Month-to-month,Electronic check,1,0
56,33,44,96.03,Month-to-month,Bank transfer,0,0
57,38,28,76.17,Month-to-month,Credit card,0,0
58,62,37,102.11,One year,Electronic check,1,1
59,29,16,63.47,Two year,Credit card,1,0
60,55,0,146.13,Month-to-month,Credit card,3,1
61,18,14,57.99,Month-to-month,Bank transfer,1,0
62,37,1,47.57,Month-to-month,Credit card,1,1
63,44,46,51.24,Two year,Bank transfer,1,0
64,50,0,64.73,Month-to-month,Mailed check,1,0
65,51,9,28.36,Month-to-month,Bank transfer,1,0
66,53,43,83.81,Month-to-month,Mailed check,0,0
67,37,36,27.77,Month-to-month,Electronic check,1,0
68,35,41,80.19,One year,Electronic check,1,0
69,54,23,39.67,Month-to-month,Mailed check,2,0
70,39,5,61.22,Month-to-month,Credit card,0,1
71,24,36,90.51,Two year,Credit card,1,0
72,26,47,134.65,Month-to-month,Credit card,1,0
73,29,47,50.1,One year,Electronic check,1,0
74,48,38,71.94,Month-to-month,Bank transfer,0,0
75,43,25,55.66,Two year,Bank transfer,0,0
76,51,54,56.35,One year,Electronic check,0,0
77,36,38,57.83,Month-to-month,Bank transfer,0,1
78,44,1,90.75,Two year,Mailed check,2,0
79,50,8,59.0,Month-to-month,Credit card,2,0
80,37,10,127.73,Month-to-month,Electronic check,5,1
81,48,47,87.45,One year,Credit card,1,0
82,32,19,47.6,One year,Credit card,2,0
83,36,1,60.98,Month-to-month,Bank transfer,2,1
84,36,2,50.25,Month-to-month,Electronic check,3,1
